city,state,latitude,longitude,postcode,price,bedroom_number,bathroom_number,property_type
Incline Village,NV,39.248436,-119.955574,89451,425000,1,1,CONDO
Reno,NV,,,89511,995000,2,3,CONDO
Incline Village,NV,39.24709,-119.95673,89451,399000,1,1,CONDO
Reno,NV,,,89511,960000,2,3,CONDO
Incline Village,NV,39.248436,-119.955574,89451,379000,1,1,CONDO
Reno,NV,,,89511,960000,2,3,CONDO
Reno,NV,,,89511,995000,2,3,CONDO
Incline Village,NV,39.24691,-119.93302,89451,662500,1,2,CONDO
Incline Village,NV,39.248436,-119.955574,89451,340000,1,1,CONDO
Reno,NV,,,89511,975000,2,3,CONDO
Reno,NV,39.452396,-119.77727,89511,210000,1,1,CONDO
Reno,NV,,,89511,950000,2,3,CONDO
Reno,NV,,,89511,950000,2,3,CONDO
Sparks,NV,39.552784,-119.71841,89434,214900,1,1,CONDO
Sparks,NV,39.55542,-119.7665,89431,325000,3,2,CONDO
Sparks,NV,39.539295,-119.773605,89431,235000,2,1,CONDO
Sparks,NV,39.557804,-119.733185,89434,290000,2,2,CONDO
Sparks,NV,39.539932,-119.772446,89431,270000,2,2,CONDO
Sparks,NV,39.54114,-119.77229,89431,275000,2,2,CONDO
Sparks,NV,39.55251,-119.764824,89431,275000,2,2,CONDO
Sparks,NV,39.539932,-119.772446,89431,274000,2,2,CONDO
Sparks,NV,39.55761,-119.72493,89434,315000,2,1,CONDO
Sparks,NV,39.54341,-119.76251,89431,269000,2,2,CONDO
Crystal Bay,NV,39.226357,-120.00478,89402,1150000,2,3,CONDO
Las Vegas,NV,36.138447,-115.06926,89121,220000,2,2,CONDO
Las Vegas,NV,36.186302,-115.08444,89110,199900,3,2,CONDO
Las Vegas,NV,36.138447,-115.06926,89121,237777,2,2,CONDO
Las Vegas,NV,36.132465,-115.11817,89169,234800,2,1,CONDO
Las Vegas,NV,36.186516,-115.089714,89110,155000,2,2,CONDO
Reno,NV,39.489243,-119.80607,89509,307500,1,1,CONDO
Los Angeles,CA,34.063297,-118.473145,90049,999000,2,2,CONDO
Las Vegas,NV,36.136135,-115.13366,89169,135000,1,1,CONDO
Sunrise Manor Town,NV,36.142956,-115.07624,89104,205000,2,2,CONDO
Las Vegas,NV,36.18704,-115.09078,89110,160000,2,2,CONDO
Los Angeles,CA,34.06376,-118.47115,90049,790000,2,2,CONDO
Las Vegas,NV,36.138447,-115.06926,89121,220000,2,2,CONDO
Las Vegas,NV,36.18755,-115.08448,89110,179900,2,2,CONDO
Carson City,NV,39.157337,-119.768074,89703,259900,2,1,CONDO
Las Vegas,NV,36.138447,-115.06926,89121,240000,2,2,CONDO
Las Vegas,NV,36.15464,-115.06502,89104,219000,2,1,CONDO
Sunrise Manor Town,NV,36.138447,-115.06926,89121,230000,2,2,CONDO
Las Vegas,NV,36.13246,-115.118164,89169,229800,2,1,CONDO
Las Vegas,NV,36.136135,-115.13366,89169,139900,1,1,CONDO
Los Angeles,CA,34.063297,-118.473145,90049,2825000,6,5,CONDO
Reno,NV,39.51725,-119.84667,89509,335000,1,1,CONDO
Carson City,NV,39.172474,-119.753876,89706,440000,3,3,CONDO
Las Vegas,NV,36.141354,-115.12384,89169,213000,2,2,CONDO
Las Vegas,NV,36.136135,-115.13366,89169,125000,2,2,CONDO
Las Vegas,NV,36.141354,-115.12384,89169,219900,2,3,CONDO
Las Vegas,NV,36.172916,-115.10904,89101,125000,2,1,CONDO
Las Vegas,NV,,,89101,484998,1,2,CONDO
Las Vegas,NV,36.14207,-115.116554,89121,170000,2,3,CONDO
Los Angeles,CA,34.050762,-118.44403,90025,1489000,2,2,CONDO
Los Angeles,CA,34.04458,-118.44636,90025,799000,2,2,CONDO
Los Angeles,CA,34.05137,-118.44454,90025,899000,2,2,CONDO
Los Angeles,CA,34.05056,-118.445915,90025,1169000,2,2,CONDO
Los Angeles,CA,34.047604,-118.44131,90025,749000,2,2,CONDO
Los Angeles,CA,34.047314,-118.44237,90025,1149000,3,2,CONDO
Los Angeles,CA,34.047054,-118.440285,90025,720000,2,2,CONDO
Los Angeles,CA,34.039474,-118.44136,90025,740000,2,2,CONDO
Los Angeles,CA,34.049397,-118.43472,90025,1325000,3,3,CONDO
Los Angeles,CA,34.051495,-118.43116,90025,1100000,2,3,CONDO
Los Angeles,CA,34.04899,-118.4438,90025,1048000,2,3,CONDO
Los Angeles,CA,34.048508,-118.44414,90025,699000,2,2,CONDO
Los Angeles,CA,34.05007,-118.44448,90025,1099000,2,3,CONDO
Las Vegas,NV,,,89104,200000,2,2,CONDO
Las Vegas,NV,36.141354,-115.12384,89169,190000,2,3,CONDO
Las Vegas,NV,36.133087,-115.10624,89121,169990,1,1,CONDO
Los Angeles,CA,34.0409,-118.4376,90025,649000,2,2,CONDO
Los Angeles,CA,34.05104,-118.44292,90025,1149000,2,2,CONDO
Los Angeles,CA,34.046764,-118.43924,90025,1289000,3,3,CONDO
Los Angeles,CA,34.04651,-118.44036,90025,875000,2,3,CONDO
Los Angeles,CA,34.0485,-118.44412,90025,819000,2,2,CONDO
Las Vegas,NV,36.15464,-115.06502,89104,215000,2,2,CONDO
Las Vegas,NV,36.186665,-115.0843,89110,200000,3,2,CONDO
Las Vegas,NV,36.133087,-115.10624,89121,149000,1,1,CONDO
Las Vegas,NV,36.136135,-115.13366,89169,124999,2,1,CONDO
Las Vegas,NV,36.136135,-115.13366,89169,125000,2,1,CONDO
Los Angeles,CA,34.062645,-118.46943,90049,715000,1,1,CONDO
Los Angeles,CA,34.065735,-118.469795,90049,1185000,4,3,CONDO
Las Vegas,NV,36.141354,-115.12384,89169,215000,2,2,CONDO
Las Vegas,NV,36.136135,-115.13366,89169,139000,2,1,CONDO
Las Vegas,NV,36.17994,-115.133835,89101,458000,1,2,CONDO
Sunrise Manor Town,NV,,,89115,138000,2,2,CONDO
Las Vegas,NV,36.15996,-115.13501,89101,114999,2,1,CONDO
Las Vegas,NV,36.09396,-115.108215,89120,199999,2,2,CONDO
Las Vegas,NV,36.0942,-115.10816,89120,200000,2,2,CONDO
Las Vegas,NV,36.06549,-115.136024,89119,210000,2,2,CONDO
Las Vegas,NV,36.099598,-115.12196,89119,165000,1,1,CONDO
Las Vegas,NV,,,89109,874888,1,3,CONDO
Las Vegas,NV,36.10415,-115.13524,89119,196500,2,1,CONDO
Las Vegas,NV,36.106197,-115.17429,89158,2395000,1,2,CONDO
Las Vegas,NV,,,89109,749888,1,3,CONDO
Las Vegas,NV,36.106056,-115.16673,89109,319888,0,1,CONDO
Las Vegas,NV,36.07082,-115.1107,89120,240000,2,2,CONDO
Las Vegas,NV,36.104126,-115.13081,89119,237900,2,2,CONDO
